full_name,phone,email,user_type,hire_date,date_created
James Hales,385-555-7777,fake@email.com,admin,09/14/2022,11/30/2022
Melisande Zimmer,869-115-5262,mzimmer0@accuweather.com,user,02/09/2021,11/30/2022
Bert Saket,469-621-8772,bsaket1@mlb.com,user,06/07/2021,11/30/2022
Gisela Yashaev,606-283-6622,gyashaev2@bravesites.com,user,09/29/2022,11/30/2022
Jareb Jorge,879-301-1056,jjorge3@hostgator.com,admin,10/13/2021,11/30/2022
Anett Pollok,105-676-8229,apollok4@wp.com,user,06/17/2021,11/30/2022
Gladys Vasilchikov,704-848-9865,gvasilchikov5@canalblog.com,user,09/16/2021,11/30/2022
Eilis Gerran,569-761-3782,egerran6@blog.com,user,08/23/2022,11/30/2022
June Arbuckel,416-824-8129,jarbuckel7@berkeley.edu,user,10/28/2022,11/30/2022
Donnajean Harbin,147-144-2284,dharbin8@gravatar.com,user,09/13/2021,11/30/2022
Donny Glowach,945-966-7375,dglowach9@cbc.ca,user,04/13/2022,11/30/2022
Lauren Corrin,514-457-5180,lcorrina@csmonitor.com,user,08/04/2022,11/30/2022
Miguel Richardt,821-715-2894,mrichardtb@biblegateway.com,admin,11/16/2021,11/30/2022
Lira Branno,453-740-7427,lbrannoc@dailymotion.com,user,08/13/2021,11/30/2022
Ferris Darington,458-393-4292,fdaringtond@nps.gov,user,07/21/2021,11/30/2022
Hort Dagworthy,173-336-6306,hdagworthye@sogou.com,user,08/16/2021,11/30/2022
Tallia Rides,423-653-4755,tridesf@illinois.edu,user,10/28/2021,11/30/2022
Pyotr Adenot,689-610-0455,padenotg@rakuten.co.jp,user,03/27/2022,11/30/2022
Gregory Cranke,867-445-5242,gcrankeh@washington.edu,user,12/22/2020,11/30/2022
Ilaire Seebright,133-472-4749,iseebrighti@kickstarter.com,user,08/10/2022,11/30/2022
Antons Orrell,267-861-4287,aorrellj@businesswire.com,user,11/01/2022,11/30/2022
